PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Zeit Bay Lpg Terminal, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,27.8,33.566667
El Ghardaqa,Hurghada,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Very Small,Coastal (Natural),Unknown,Unknown,27.216667,33.85
Ras Shukhier,Aras Shukhayr,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Medium,Open Roadstead,Unknown,Unknown,28.133333,33.283333
Ras Gharib, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,28.35,33.1
Ras Badran Oil Terminal,Ras Budran,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,28.95,33.166667
North Ain Sukhna Port,Sokhna Port,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Small,Coastal (Breakwater),Unknown,Unknown,29.65,32.366667
Sokhna Port Gas Tanker Terminal, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,29.683333,32.366667
As Suways,Port Suez,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Large,Coastal (Breakwater),Unknown,Large,29.966667,32.55
El-Adabiya,Port Ababiya,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Small,Coastal (Natural),Unknown,Large,29.866667,32.466667
El Ismailiya,Ismailia,Egypt,Suez Canal; Red Sea; Indian Ocean,Small,Canal or Lake,Unknown,Unknown,30.583333,32.283333
Ras Sudr, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,29.583333,32.7
Ain Sukhna Terminal, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Large,Open Roadstead,Unknown,Unknown,29.583333,32.366667
Zafarana Terminal, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,29.166667,32.683333
Ras Abu Zanimah,Abu Zenima,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Small,Coastal (Natural),Unknown,Unknown,29.033333,33.116667
Wadi Feiran, ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,Small,Open Roadstead,Unknown,Unknown,28.75,33.2
Acajutla, ,El Salvador,North Pacific Ocean,Very Small,Coastal (Breakwater),Unknown,Small,13.583333,-89.833333
Acajutla Offshore Terminal,El Paso Terminal,El Salvador,North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,13.583333,-89.866667
La Union,Cutuco,El Salvador,North Pacific Ocean,Very Small,Coastal (Natural),Fishing,Small,13.333333,-87.833333
Bata, ,Equatorial Guinea,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,1.866667,9.766667
Punta Europa Terminal, ,Equatorial Guinea,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,3.783333,8.716667
Serpentina Terminal, ,Equatorial Guinea,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,3.8,8.083333
Malabo,Rey Malabo; Santa Isabelle,Equatorial Guinea,Gulf of Guinea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,3.75,8.783333
Luba, ,Equatorial Guinea,Gulf of Guinea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,3.5,8.566667
Ceiba Terminal, ,Equatorial Guinea,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,1.416667,9.233333
Cogo, ,Equatorial Guinea,Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,1.083333,9.7
Assab,Aseb,Eritrea,Red Sea; Indian Ocean,Small,Coastal (Natural),Unknown,Unknown,13,42.75
Mitsiwa Harbor,Massaua; Massawa,Eritrea,Red Sea; Indian Ocean,Small,Coastal (Breakwater),Unknown,Medium,15.616667,39.466667
Kunda,Sadam,Estonia,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Cargo,Unknown,59.527775,26.547196
Vanasadam - Port of Tallinn, ,Estonia,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Ferry,None,59.450128,24.766676
Muuga-Port of Tallin, ,Estonia,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Cargo,None,59.500042,24.966693
Paldiski Lounasadam, ,Estonia,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Cargo,Small,59.333343,24.081111
Osmussaar,Odensholm,Estonia,Gulf of Finland; Baltic Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,59.3,23.366667
Vagur, ,Faroe Islands,North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,None,61.483333,-6.8
